"","ASV","Count","rel_abun","Family","Host","Total","Core"
"C. trigynum.41","ASV1797",12,0.0091476662016603,NA,"C. trigynum",122726,"No"
"C. trigynum.42","ASV1806",17,0.0129591937856854,NA,"C. trigynum",122726,"Yes"
"C. trigynum.43","ASV1815",64,0.0487875530755216,NA,"C. trigynum",122726,"Yes"
"C. trigynum.44","ASV1829",270,0.205822489537357,NA,"C. trigynum",122726,"No"
"C. trigynum.45","ASV1834",6,0.00457383310083015,NA,"C. trigynum",122726,"Yes"
"C. trigynum.46","ASV1845",581,0.44289950526372,NA,"C. trigynum",122726,"Yes"
"C. trigynum.47","ASV1858",49,0.0373529703234462,NA,"C. trigynum",122726,"No"
"C. trigynum.48","ASV1863",134,0.102148939251873,NA,"C. trigynum",122726,"Yes"
"C. trigynum.49","ASV1871",1283,0.978037978060847,NA,"C. trigynum",122726,"Yes"
"C. trigynum.50","ASV1880",12,0.0091476662016603,NA,"C. trigynum",122726,"No"
"C. trigynum.51","ASV1898",18,0.0137214993024905,NA,"C. trigynum",122726,"No"
"C. trigynum.52","ASV1946",53,0.0404021923906663,NA,"C. trigynum",122726,"Yes"
"C. trigynum.53","ASV1948",729,0.555720721750863,NA,"C. trigynum",122726,"Yes"
"C. trigynum.54","ASV1953",557,0.424604172860399,NA,"C. trigynum",122726,"Yes"
"C. trigynum.55","ASV197",15,0.0114345827520754,NA,"C. trigynum",122726,"No"
"C. trigynum.56","ASV201",24,0.0182953324033206,NA,"C. trigynum",122726,"Yes"
"C. trigynum.57","ASV2054",737,0.561819165885304,NA,"C. trigynum",122726,"Yes"
"C. trigynum.58","ASV2063",1092,0.832437624351087,NA,"C. trigynum",122726,"Yes"
"C. trigynum.59","ASV2072",324,0.246986987444828,NA,"C. trigynum",122726,"Yes"
"C. trigynum.60","ASV208",81,0.061746746861207,NA,"C. trigynum",122726,"Yes"
"C. trigynum.61","ASV224",14,0.0106722772352704,NA,"C. trigynum",122726,"No"
"C. trigynum.62","ASV229",13,0.00990997171846533,NA,"C. trigynum",122726,"No"
"C. trigynum.63","ASV232",117,0.089189745466188,NA,"C. trigynum",122726,"Yes"
"C. trigynum.64","ASV241",14,0.0106722772352704,NA,"C. trigynum",122726,"Yes"
"C. trigynum.65","ASV257",49,0.0373529703234462,NA,"C. trigynum",122726,"Yes"
"C. trigynum.66","ASV27",6,0.00457383310083015,NA,"C. trigynum",122726,"No"
"C. trigynum.67","ASV368",1292,0.984898727712093,NA,"C. trigynum",122726,"Yes"
"C. trigynum.68","ASV37",767,0.584688331389454,NA,"C. trigynum",122726,"Yes"
"C. trigynum.69","ASV372",778,0.593073692074309,NA,"C. trigynum",122726,"Yes"
"C. trigynum.70","ASV378",759,0.578589887255014,NA,"C. trigynum",122726,"Yes"
"C. trigynum.71","ASV383",398,0.3033975956884,NA,"C. trigynum",122726,"Yes"
"C. trigynum.72","ASV392",3016,2.29911343868396,NA,"C. trigynum",122726,"Yes"
"C. trigynum.73","ASV398",145,0.110534299936729,NA,"C. trigynum",122726,"Yes"
"C. trigynum.74","ASV440",68,0.0518367751427417,NA,"C. trigynum",122726,"Yes"
"C. trigynum.75","ASV498",14,0.0106722772352704,NA,"C. trigynum",122726,"No"
"C. trigynum.76","ASV592",8,0.0060984441344402,NA,"C. trigynum",122726,"Yes"
"C. trigynum.77","ASV614",11,0.00838536068485528,NA,"C. trigynum",122726,"No"
"C. trigynum.78","ASV645",5,0.00381152758402513,NA,"C. trigynum",122726,"No"
"C. trigynum.79","ASV674",18,0.0137214993024905,NA,"C. trigynum",122726,"No"
"C. trigynum.80","ASV692",24,0.0182953324033206,NA,"C. trigynum",122726,"No"
"C. trigynum.81","ASV696",37,0.0282053041217859,NA,"C. trigynum",122726,"No"
"C. trigynum.82","ASV736",112,0.0853782178821628,NA,"C. trigynum",122726,"Yes"
"C. trigynum.83","ASV766",76,0.0579352192771819,NA,"C. trigynum",122726,"No"
"C. trigynum.84","ASV767",32,0.0243937765377608,NA,"C. trigynum",122726,"No"
"C. trigynum.85","ASV772",23,0.0175330268865156,NA,"C. trigynum",122726,"No"
"C. trigynum.86","ASV848",13,0.00990997171846533,NA,"C. trigynum",122726,"No"
"C. trigynum.87","ASV877",49,0.0373529703234462,NA,"C. trigynum",122726,"No"
"C. trigynum.88","ASV89",36,0.0274429986049809,NA,"C. trigynum",122726,"Yes"
"C. trigynum.89","ASV92",39,0.029729915155396,NA,"C. trigynum",122726,"No"
"C. trigynum.90","ASV926",99,0.0754682461636975,NA,"C. trigynum",122726,"Yes"
"C. trigynum.91","ASV979",37,0.0282053041217859,NA,"C. trigynum",122726,"Yes"
"Grass.1","ASV100",4,0.00188590287600189,NA,"Grass",201674,"Yes"
"Grass.2","ASV1007",283,0.133427628477133,NA,"Grass",201674,"Yes"
"Grass.3","ASV1015",40,0.0188590287600189,NA,"Grass",201674,"Yes"
"Grass.4","ASV1038",47,0.0221593587930222,NA,"Grass",201674,"Yes"
"Grass.5","ASV1098",49,0.0231023102310231,NA,"Grass",201674,"No"
"Grass.6","ASV1103",25,0.0117868929750118,NA,"Grass",201674,"No"
"Grass.7","ASV1104",29,0.0136727958510137,NA,"Grass",201674,"No"
"Grass.8","ASV112",9,0.00424328147100424,NA,"Grass",201674,"Yes"
"Grass.9","ASV1121",84,0.0396039603960396,NA,"Grass",201674,"Yes"
"Grass.10","ASV1135",4141,1.95238095238095,NA,"Grass",201674,"Yes"
"Grass.11","ASV1155",636,0.2998585572843,NA,"Grass",201674,"Yes"
"Grass.12","ASV1157",524,0.247053276756247,NA,"Grass",201674,"Yes"
"Grass.13","ASV1170",40,0.0188590287600189,NA,"Grass",201674,"No"
"Grass.14","ASV1176",294,0.138613861386139,NA,"Grass",201674,"Yes"
"Grass.15","ASV1189",1744,0.822253653936822,NA,"Grass",201674,"Yes"
"Grass.16","ASV1195",1169,0.551155115511551,NA,"Grass",201674,"Yes"
"Grass.17","ASV1197",21,0.0099009900990099,NA,"Grass",201674,"Yes"
"Grass.18","ASV1199",65,0.0306459217350306,NA,"Grass",201674,"Yes"
"Grass.19","ASV1204",45,0.0212164073550212,NA,"Grass",201674,"Yes"
"Grass.20","ASV1207",14,0.0066006600660066,NA,"Grass",201674,"Yes"
"Grass.21","ASV1208",145,0.0683639792550684,NA,"Grass",201674,"Yes"
"Grass.22","ASV1217",11,0.00518623290900519,NA,"Grass",201674,"No"
"Grass.23","ASV1228",50,0.0235737859500236,NA,"Grass",201674,"Yes"
"Grass.24","ASV1233",558,0.263083451202263,NA,"Grass",201674,"Yes"
"Grass.25","ASV1240",145,0.0683639792550684,NA,"Grass",201674,"Yes"
"Grass.26","ASV1257",12,0.00565770862800566,NA,"Grass",201674,"Yes"
"Grass.27","ASV1268",45,0.0212164073550212,NA,"Grass",201674,"Yes"
"Grass.28","ASV1271",109,0.0513908533710514,NA,"Grass",201674,"Yes"
"Grass.29","ASV1272",146,0.0688354549740688,NA,"Grass",201674,"Yes"
"Grass.30","ASV1273",8,0.00377180575200377,NA,"Grass",201674,"Yes"
"Grass.31","ASV1279",149,0.0702498821310703,NA,"Grass",201674,"No"
"Grass.32","ASV1280",82,0.0386610089580387,NA,"Grass",201674,"Yes"
"Grass.33","ASV1303",166,0.0782649693540783,NA,"Grass",201674,"Yes"
"Grass.34","ASV1313",440,0.207449316360207,NA,"Grass",201674,"Yes"
"Grass.35","ASV1324",13,0.00612918434700613,NA,"Grass",201674,"Yes"
"Grass.36","ASV1351",25,0.0117868929750118,NA,"Grass",201674,"Yes"
"Grass.37","ASV1371",9,0.00424328147100424,NA,"Grass",201674,"Yes"
"Grass.38","ASV1394",137,0.0645921735030646,NA,"Grass",201674,"No"
"Grass.39","ASV1396",58,0.0273455917020273,NA,"Grass",201674,"Yes"
"Grass.40","ASV1400",470,0.221593587930222,NA,"Grass",201674,"Yes"
"Grass.41","ASV1428",7087,3.34134842055634,NA,"Grass",201674,"Yes"
"Grass.42","ASV143",22,0.0103724658180104,NA,"Grass",201674,"Yes"
"Grass.43","ASV1450",366,0.172560113154173,NA,"Grass",201674,"No"
"Grass.44","ASV1452",114,0.0537482319660537,NA,"Grass",201674,"No"
"Grass.45","ASV1454",106,0.04997642621405,NA,"Grass",201674,"No"
"Grass.46","ASV1456",305,0.143800094295144,NA,"Grass",201674,"No"
"Grass.47","ASV1457",130,0.0612918434700613,NA,"Grass",201674,"No"
"Grass.48","ASV1460",67,0.0315888731730316,NA,"Grass",201674,"Yes"
"Grass.49","ASV1468",2764,1.3031588873173,NA,"Grass",201674,"Yes"
"Grass.50","ASV1475",3440,1.62187647336162,NA,"Grass",201674,"Yes"
"Grass.51","ASV1476",1394,0.657237152286657,NA,"Grass",201674,"Yes"
"Grass.52","ASV1481",247,0.116454502593116,NA,"Grass",201674,"Yes"
"Grass.53","ASV1483",236,0.111268269684111,NA,"Grass",201674,"Yes"
"Grass.54","ASV1484",1720,0.810938236680811,NA,"Grass",201674,"Yes"
"Grass.55","ASV1491",196,0.0924092409240924,NA,"Grass",201674,"Yes"
"Grass.56","ASV1492",105,0.0495049504950495,NA,"Grass",201674,"Yes"
"Grass.57","ASV1494",533,0.251296558227251,NA,"Grass",201674,"Yes"
"Grass.58","ASV1499",664,0.313059877416313,NA,"Grass",201674,"No"
"Grass.59","ASV1501",433,0.204148986327204,NA,"Grass",201674,"No"
"Grass.60","ASV1514",83983,39.5959453088166,NA,"Grass",201674,"Yes"
"Grass.61","ASV1516",181,0.0853371051390853,NA,"Grass",201674,"No"
"Grass.62","ASV1534",111,0.0523338048090523,NA,"Grass",201674,"Yes"
"Grass.63","ASV1539",148,0.0697784064120698,NA,"Grass",201674,"Yes"
"Grass.64","ASV1550",653,0.307873644507308,NA,"Grass",201674,"Yes"
"Grass.65","ASV1551",2893,1.36397925506836,NA,"Grass",201674,"Yes"
"Grass.66","ASV156",22,0.0103724658180104,NA,"Grass",201674,"No"
"Grass.67","ASV1561",7498,3.53512494106553,NA,"Grass",201674,"Yes"
"Grass.68","ASV1566",4205,1.98255539839698,NA,"Grass",201674,"Yes"
"Grass.69","ASV1571",770,0.363036303630363,NA,"Grass",201674,"Yes"
"Grass.70","ASV1688",870,0.41018387553041,NA,"Grass",201674,"Yes"
"Grass.71","ASV1689",554,0.261197548326261,NA,"Grass",201674,"Yes"
"Grass.72","ASV1691",1786,0.842055634134842,NA,"Grass",201674,"Yes"
"Grass.73","ASV1699",2066,0.974068835454974,NA,"Grass",201674,"Yes"
"Grass.74","ASV1700",1374,0.647807637906648,NA,"Grass",201674,"Yes"
"Grass.75","ASV1719",44,0.0207449316360207,NA,"Grass",201674,"Yes"
"Grass.76","ASV1771",32,0.0150872230080151,NA,"Grass",201674,"No"
"Grass.77","ASV1774",203,0.0957095709570957,NA,"Grass",201674,"Yes"
